"PFE","UNH","JNJ","AZN","SYK","CVS","LLY","Dates","date"
10.15388,28.61298,15.183058,41.845413,24.084763,43.02494,25.314734,"2010-10-04",2010-10-04
10.352153,29.052027,15.403752,42.862553,24.56753,43.813309,25.726191,"2010-10-05",2010-10-05
10.370182,28.124224,15.356036,42.760818,24.835741,44.099346,25.921455,"2010-10-06",2010-10-06
10.442279,28.447292,15.478312,42.192947,24.506227,44.106331,25.858696,"2010-10-07",2010-10-07
10.490339,28.455572,15.579716,42.108181,23.946833,44.113293,25.851721,"2010-10-08",2010-10-08
10.442279,28.704102,15.609533,42.20142,23.79357,44.162128,25.956327,"2010-10-11",2010-10-11
10.502359,29.010609,15.687074,41.574207,23.716938,44.155159,26.053963,"2010-10-12",2010-10-12
10.652565,29.259132,15.773564,41.77763,24.245686,44.357483,26.081856,"2010-10-13",2010-10-13
10.610505,29.6402,15.883904,41.387745,23.946833,44.469109,26.095808,"2010-10-14",2010-10-14
10.664578,29.805868,15.863033,41.565727,23.992811,44.350506,26.332914,"2010-10-15",2010-10-15
10.694626,30.029531,15.955489,42.811668,23.946833,44.552818,26.542118,"2010-10-18",2010-10-18
10.448284,29.242561,15.433576,42.438747,23.410419,44.155159,26.116714,"2010-10-19",2010-10-19
10.610505,30.427172,15.737775,42.862553,23.84693,44.371429,25.112503,"2010-10-20",2010-10-20
10.592483,30.228359,15.540936,43.498234,24.01601,44.64352,24.75684,"2010-10-21",2010-10-21
10.514378,30.866222,15.543923,42.879482,24.100542,44.517941,24.687105,"2010-10-22",2010-10-22
10.586473,31.114748,15.523046,43.455833,24.000635,44.636536,24.498808,"2010-10-25",2010-10-25
10.508368,31.123024,15.481293,43.421944,23.647121,44.538864,24.338413,"2010-10-26",2010-10-26
10.382195,29.76446,15.189027,43.142258,23.70092,44.350506,24.366302,"2010-10-27",2010-10-27
10.556434,30.029531,15.039907,42.548946,23.56258,44.343525,24.512766,"2010-10-28",2010-10-28
10.466309,29.863857,15.04885,41.947151,23.155272,44.469109,24.547636,"2010-10-29",2010-10-29
10.586473,29.91358,14.89675,41.794582,22.97851,44.434216,24.43605,"2010-11-01",2010-11-01
10.484331,30.650839,14.986226,42.294655,23.462677,44.566776,24.673157,"2010-11-02",2010-11-02
10.568449,30.369181,15.013066,43.438915,23.723976,44.783051,24.805664,"2010-11-03",2010-11-03
10.550241,30.485163,14.926579,43.871151,24.215824,45.180725,24.938164,"2010-11-04",2010-11-04
10.428831,30.534866,14.941487,44.439056,23.777765,45.103973,24.910265,"2010-11-05",2010-11-05
10.349918,30.750261,14.819214,44.150875,24.000635,44.880726,24.917244,"2010-11-08",2010-11-08
10.313498,30.634275,14.780449,44.218693,23.84693,44.866764,24.945126,"2010-11-09",2010-11-09
10.216372,30.78339,14.78641,44.176304,23.92379,44.615612,24.740084,"2010-11-10",2010-11-10
10.307425,31.040192,14.640271,44.235645,23.716288,44.594692,24.711807,"2010-11-11",2010-11-11
10.22851,30.377457,14.625363,43.727081,23.239807,44.420261,24.577461,"2010-11-12",2010-11-12
10.167807,29.383389,14.449404,43.582993,23.093792,44.748169,24.485548,"2010-11-15",2010-11-15
10.076754,29.002317,14.368878,42.972725,22.786386,44.05051,24.344133,"2010-11-16",2010-11-16
10.003908,29.267408,14.389759,42.862553,22.924721,43.994698,24.32292,"2010-11-17",2010-11-17
10.216372,29.515928,14.679044,43.557556,23.662489,44.531895,24.598675,"2010-11-18",2010-11-18
10.19816,29.822441,14.583609,43.769463,23.84693,44.531895,24.393625,"2010-11-19",2010-11-19
10.094966,30.203514,14.610451,43.557556,23.808506,44.385376,24.428974,"2010-11-22",2010-11-22
10.058543,29.863857,14.207836,43.125298,23.823877,43.862144,24.096661,"2010-11-23",2010-11-23
10.131385,29.971556,14.407653,43.481277,24.254246,44.155159,24.195652,"2010-11-24",2010-11-24
10.009976,29.723032,14.318186,43.616894,23.939159,43.83852,24.089588,"2010-11-26",2010-11-26
10.052472,30.311203,14.195905,43.03207,24.162025,43.564075,23.962313,"2010-11-29",2010-11-29
9.894642,30.253214,13.996092,42.455708,23.823877,43.310757,23.799694,"2010-11-30",2010-11-30
10.137455,31.205858,14.192925,43.184635,24.492489,43.922939,24.223927,"2010-12-01",2010-12-01
10.131385,31.520647,14.312215,43.566032,24.577019,44.049606,24.21686,"2010-12-02",2010-12-02
10.149598,31.433403,14.383789,44.167816,24.915159,44.021469,24.139091,"2010-12-03",2010-12-03
10.204228,30.992897,14.228715,43.676224,24.992012,43.76815,24.018888,"2010-12-06",2010-12-06
10.179949,30.560705,14.276427,43.464333,25.407024,43.845539,24.117876,"2010-12-07",2010-12-07
10.149598,30.618891,14.353971,44.150875,25.591455,43.944065,24.259283,"2010-12-08",2010-12-08
10.173876,30.460976,14.216781,44.922192,25.814327,43.669621,24.513819,"2010-12-09",2010-12-09
10.331704,30.477583,14.252569,44.922192,25.860437,43.564075,24.733015,"2010-12-10",2010-12-10
10.434903,30.668755,14.547823,44.989983,25.937286,43.528904,24.725943,"2010-12-13",2010-12-13
10.38634,30.336304,14.661152,45.812138,26.190895,44.169235,24.810789,"2010-12-14",2010-12-14
10.368128,29.463617,14.696939,45.388348,26.00646,44.028484,24.839071,"2010-12-15",2010-12-15
10.453113,29.596596,14.68203,46.091866,26.55979,43.908878,24.874428,"2010-12-16",2010-12-16
10.337777,29.131161,13.832065,46.218994,26.436825,44.007385,24.754225,"2010-12-17",2010-12-17
10.422763,29.23921,13.70382,46.447842,26.406078,43.97221,24.77544,"2010-12-20",2010-12-20
10.550241,29.363873,13.694876,45.922325,26.498301,43.866665,24.846142,"2010-12-21",2010-12-21
10.659505,29.787762,13.659086,46.091866,26.859501,43.641487,24.888571,"2010-12-22",2010-12-22
10.68986,29.729565,13.72768,45.515491,26.675064,43.803322,24.909782,"2010-12-23",2010-12-23
10.617014,29.538406,13.72768,45.778233,26.628948,43.578152,24.796656,"2010-12-27",2010-12-27
10.677717,29.688021,13.700838,45.812138,26.705803,43.66259,24.782509,"2010-12-28",2010-12-28
10.683787,29.845936,13.772415,46.00774,26.821072,43.718876,24.85322,"2010-12-29",2010-12-29
10.617014,29.870874,13.736628,45.990738,26.897923,43.585175,24.761305,"2010-12-30",2010-12-30
10.629153,30.012169,13.775397,45.667572,26.721176,43.521862,24.77544,"2010-12-31",2010-12-31
10.732351,30.859911,13.826098,46.415943,26.936352,44.204411,24.747154,"2011-01-03",2011-01-03
10.920532,31.142504,13.963285,46.228848,26.913298,44.577351,24.76837,"2011-01-04",2011-01-04
10.993371,31.242231,14.100475,46.483971,27.197647,44.549198,24.591606,"2011-01-05",2011-01-05
11.035868,31.890524,14.088545,46.466965,26.920982,44.47884,24.704729,"2011-01-06",2011-01-06
11.132989,31.957001,14.002053,46.194828,26.936352,44.049606,24.676447,"2011-01-07",2011-01-07
11.084428,31.957001,13.832065,46.517986,27.036261,43.739994,24.38656,"2011-01-10",2011-01-10
