OverallStatus,AdverseEffectsorDeath,DurationDays,EnrollmentCount,ArmNumber
Terminated,1.0,245.0,1.0,4
Terminated,0.7857142857142857,607.0,14.0,3
Terminated,0.42857142857142855,1299.0,7.0,3
Terminated,0.0,725.0,2.0,2
Terminated,0.03571428571428571,1158.0,28.0,2
Terminated,0.8571428571428571,2472.0,14.0,2
Terminated,0.0,3622.0,46.0,1
Terminated,0.5714285714285714,761.0,7.0,2
Terminated,0.0,1583.0,2.0,2
Terminated,0.5,1369.0,16.0,2
Terminated,0.006134969325153374,1338.0,326.0,2
Terminated,0.0,304.0,2.0,3
Terminated,0.0,670.0,175.0,1
Terminated,0.0,60.0,2.0,3
Terminated,0.0,510.0,4.0,2
Terminated,0.0,380.0,13.0,2
Terminated,0.05,2223.0,40.0,1
