,AZN,Dates
905,62.670841,2013-08-08
906,62.768063,2013-08-09
907,62.547089,2013-08-12
908,62.653137,2013-08-13
909,62.255367,2013-08-14
910,60.911823,2013-08-15
911,60.080917,2013-08-16
912,60.160465,2013-08-19
913,60.3284,2013-08-20
914,60.045551,2013-08-21
915,60.796909,2013-08-22
916,60.363781,2013-08-23
917,60.443317,2013-08-26
918,59.294212,2013-08-27
919,58.905262,2013-08-28
920,59.143963,2013-08-29
921,59.126282,2013-08-30
922,59.417957,2013-09-03
923,59.462162,2013-09-04
924,59.921814,2013-09-05
925,60.929459,2013-09-06
926,61.132801,2013-09-09
927,61.468693,2013-09-10
928,61.504059,2013-09-11
929,61.433338,2013-09-12
930,61.981365,2013-09-13
931,62.608963,2013-09-16
932,63.068584,2013-09-17
933,63.448723,2013-09-18
934,63.316109,2013-09-19
935,63.006718,2013-09-20
936,62.93602,2013-09-23
937,62.608963,2013-09-24
938,60.805744,2013-09-25
939,60.694828,2013-09-26
940,60.029316,2013-09-27
941,59.976055,2013-09-30
942,60.304375,2013-10-01
943,60.109169,2013-10-02
944,59.754234,2013-10-03
945,60.073681,2013-10-04
946,59.931675,2013-10-07
947,59.993809,2013-10-08
948,60.73032,2013-10-09
949,61.599918,2013-10-10
950,62.309795,2013-10-11
951,62.833321,2013-10-14
952,62.238804,2013-10-15
953,63.463326,2013-10-16
954,64.377335,2013-10-17
955,65.184822,2013-10-18
956,64.91861,2013-10-21
957,65.246941,2013-10-22
958,65.637375,2013-10-23
959,65.681747,2013-10-24
960,66.205254,2013-10-25
961,66.143158,2013-10-28
962,66.134293,2013-10-29
963,65.743851,2013-10-30
964,65.539742,2013-10-31
965,65.690598,2013-11-01
966,65.921303,2013-11-04
967,65.708344,2013-11-05
968,65.406654,2013-11-06
969,64.687889,2013-11-07
970,65.069458,2013-11-08
971,65.042854,2013-11-11
972,64.980713,2013-11-12
973,65.504257,2013-11-13
974,66.089897,2013-11-14
975,65.850349,2013-11-15
976,65.229187,2013-11-18
977,65.752716,2013-11-19
978,65.477669,2013-11-20
979,65.788223,2013-11-21
980,65.912437,2013-11-22
981,66.32061,2013-11-25
982,66.391617,2013-11-26
983,66.160889,2013-11-27
984,66.036652,2013-11-29
985,65.894684,2013-12-02
986,65.601852,2013-12-03
987,65.033958,2013-12-04
988,64.91861,2013-12-05
989,66.125397,2013-12-06
990,66.205254,2013-12-09
991,66.018921,2013-12-10
992,64.537041,2013-12-11
993,63.747314,2013-12-12
994,63.498867,2013-12-13
995,63.498867,2013-12-16
996,63.578693,2013-12-17
