Dates,AZN
2012-05-01,47.504082
2012-05-02,47.322289
2012-05-03,47.408859
2012-05-04,46.63834
2012-05-07,46.854778
2012-05-08,46.880749
2012-05-09,46.101574
2012-05-10,46.205471
2012-05-11,46.04097
2012-05-14,45.573448
2012-05-15,45.010715
2012-05-16,44.785625
2012-05-17,44.136303
2012-05-18,43.512955
2012-05-21,44.525898
2012-05-22,44.776962
2012-05-23,44.396027
2012-05-24,44.776962
2012-05-25,44.889515
2012-05-29,45.53017
2012-05-30,44.629791
2012-05-31,44.543209
2012-06-01,43.296516
2012-06-04,43.149342
2012-06-05,43.971806
2012-06-06,44.370064
2012-06-07,44.3181
2012-06-08,44.422009
2012-06-11,44.508568
2012-06-12,44.828915
2012-06-13,44.577843
2012-06-14,45.313728
2012-06-15,46.880749
2012-06-18,47.244358
2012-06-19,47.781128
2012-06-20,47.530067
2012-06-21,46.534462
2012-06-22,47.244358
2012-06-25,46.499825
2012-06-26,46.595055
2012-06-27,47.223484
2012-06-28,46.75412
2012-06-29,47.892754
2012-07-02,47.519012
2012-07-03,47.527691
2012-07-05,47.119179
2012-07-06,46.536816
2012-07-09,46.649811
2012-07-10,46.119602
2012-07-11,46.119602
2012-07-12,45.824078
2012-07-13,46.110905
2012-07-16,45.980526
2012-07-17,46.693279
2012-07-18,46.562897
2012-07-19,45.319939
2012-07-20,44.659359
2012-07-23,44.111736
2012-07-24,44.111736
2012-07-25,44.563732
2012-07-26,44.589813
2012-07-27,45.55463
2012-07-30,45.49379
2012-07-31,45.224327
2012-08-01,45.919685
2012-08-02,44.676735
2012-08-03,45.850159
2012-08-06,46.015289
2012-08-07,46.067455
2012-08-08,46.058754
2012-08-09,45.884914
2012-08-10,46.119602
2012-08-13,46.241283
2012-08-14,46.75412
2012-08-15,47.032265
2012-08-16,47.371258
2012-08-17,47.249554
2012-08-20,47.371258
2012-08-21,47.197399
2012-08-22,46.780201
2012-08-23,46.267357
2012-08-24,46.710651
2012-08-27,46.667191
2012-08-28,46.693279
2012-08-29,46.571583
2012-08-30,46.163052
2012-08-31,46.293434
2012-09-04,46.780201
2012-09-05,46.171741
2012-09-06,47.101788
2012-09-07,47.067036
2012-09-10,46.545506
2012-09-11,46.936634
2012-09-12,47.301704
2012-09-13,47.970989
2012-09-14,48.683731
2012-09-17,48.87495
2012-09-18,48.614197
2012-09-19,48.579433
2012-09-20,48.475124
2012-09-21,48.927109
2012-09-24,49.100941
2012-09-25,48.657669
2012-09-26,48.50322
2012-09-27,48.695187
2012-09-28,48.564293
2012-10-01,47.901169
2012-10-02,47.70052
2012-10-03,47.482376
2012-10-04,48.040802
2012-10-05,47.822647
2012-10-08,47.421288
2012-10-09,46.007824
2012-10-10,45.56284
2012-10-11,45.772243
2012-10-12,45.632648
2012-10-15,45.632648
2012-10-16,46.644753
2012-10-17,46.086349
2012-10-18,46.775639
2012-10-19,45.929295
2012-10-22,46.199783
2012-10-23,45.589012
2012-10-24,45.615189
2012-10-25,45.719891
2012-10-26,45.536659
2012-10-31,45.89439
2012-11-01,46.304474
2012-11-02,45.929295
2012-11-05,45.990364
2012-11-06,46.644753
2012-11-07,45.903103
2012-11-08,45.737339
2012-11-09,45.833317
2012-11-12,46.287018
2012-11-13,45.964211
2012-11-14,45.650093
2012-11-15,45.37088
2012-11-16,45.458126
2012-11-19,46.243401
2012-11-20,46.766903
2012-11-21,46.679665
